"id","trial","type","explain","card1","card2","card3","trialid","memory",,,,,,,,,,
"pa6.01.c",7,-8,0,3333,3121,2212,72726,0,,,,,,,,,,
"pa6.01.c",8,-13,0,2113,1211,1213,25768,1,,,,,,,,,,
"pa6.01.c",9,2,0,1113,3311,2212,8333,1,,,,,,,,,,
"pa6.01.c",10,4,0,1333,2322,3311,60043,1,,,,,,,,,,
"pa6.01.c",11,14,0,3323,3322,3321,85301,0,,,,,,,,,,
"pa6.01.c",12,-1,0,2313,2321,2331,79339,1,,,,,,,,,,
"pa6.01.c",13,-11,0,2212,2132,3313,69231,0,,,,,,,,,,
"pa6.01.c",14,0,0,1332,2221,3113,58241,1,,,,,,,,,,
"pa6.01.c",15,-4,0,2121,1121,3321,10940,1,,,,,,,,,,
"pa6.01.c",16,1,0,2113,1223,3333,38285,0,,,,,,,,,,
"pa6.01.c",17,-14,0,2331,1313,2132,50036,0,,,,,,,,,,
"pa6.01.c",18,11,0,3323,3123,3223,83921,0,,,,,,,,,,
"pa6.01.c",19,0,0,2322,3111,1233,45118,1,,,,,,,,,,
"pa6.01.c",20,13,0,2132,2112,2122,61998,1,,,,,,,,,,
"pa6.01.c",21,8,0,3131,3322,3213,84071,0,,,,,,,,,,
"pa6.01.c",22,-7,0,2212,2332,2211,71145,1,,,,,,,,,,
"pa6.01.c",23,0,0,1131,2222,3313,19710,0,,,,,,,,,,
"pa6.01.c",24,-2,0,2221,1232,3223,42824,1,,,,,,,,,,
"pa6.02.a",1,15,1,3222,3222,3222,85362,0,,,,,,,,,,
"pa6.02.a",2,-1,1,2322,1212,3131,30095,0,,,,,,,,,,
"pa6.02.a",3,14,1,2133,2132,2131,68025,0,,,,,,,,,,
"pa6.02.a",4,-11,1,2113,2132,3112,63435,0,,,,,,,,,,
"pa6.02.a",5,0,0,2322,3111,1233,45118,0,,,,,,,,,,
"pa6.02.a",6,2,0,3131,2333,1232,43285,0,,,,,,,,,,
"pa6.02.a",7,-13,0,3222,3112,2131,68792,0,,,,,,,,,,
"pa6.02.a",8,7,0,2111,3111,1111,1756,0,,,,,,,,,,
"pa6.02.a",9,-8,0,1233,2123,1313,43791,0,,,,,,,,,,
